group	fill	colour	clickSelects
2	#E16799	#363636	98
3	#D74587	#1E1E1E	41
4	#FFFFFF	#D3D3D3	43
5	#FFFFFF	#D3D3D3	43
6	#FFFFFF	#D3D3D3	43
7	#FFFFFF	#D3D3D3	43
8	#FFFFFF	#D3D3D3	43
9	#FFFFFF	#D3D3D3	43
10	#FFFFFF	#D3D3D3	43
11	#FFFFFF	#D3D3D3	43
12	#FFFFFF	#D3D3D3	43
13	#FFFFFF	#D3D3D3	43
14	#FFFFFF	#D3D3D3	9
15	#FFFFFF	#D3D3D3	43
16	#FFFFFF	#D3D3D3	43
17	#FFFFFF	#D3D3D3	43
18	#FFFFFF	#D3D3D3	43
19	#FFFFFF	#D3D3D3	43
20	#FFFFFF	#D3D3D3	43
21	#FFFFFF	#D3D3D3	43
22	#FFFCFD	#CFCFCF	22
23	#FFFCFD	#CFCFCF	22
24	#FFFCFD	#CFCFCF	22
25	#FFFFFF	#D3D3D3	9
26	#FFFCFD	#CFCFCF	22
27	#FFFCFD	#CFCFCF	22
28	#FFFCFD	#CFCFCF	22
29	#FFFCFD	#CFCFCF	22
30	#FFFCFD	#CFCFCF	22
31	#FFFCFD	#CFCFCF	22
32	#FFFCFD	#CFCFCF	22
33	#FFFCFD	#CFCFCF	22
34	#FFFCFD	#CFCFCF	22
35	#FFFCFD	#CFCFCF	22
36	#FFFFFF	#D3D3D3	9
37	#FFFCFD	#CFCFCF	22
38	#FFFCFD	#CFCFCF	22
39	#FFFFFF	#D3D3D3	51
40	#FFFFFF	#D3D3D3	51
41	#FFFFFF	#D3D3D3	51
42	#FFFCFD	#CFCFCF	22
43	#FFFCFD	#CFCFCF	22
44	#FAD5E1	#A3A3A3	7
45	#FAD5E1	#A3A3A3	7
46	#FFFFFF	#D3D3D3	9
47	#FFFFFF	#D3D3D3	9
48	#FFFFFF	#D3D3D3	9
49	#FFFFFF	#D3D3D3	43
50	#FFFFFF	#D3D3D3	43
52	#E16799	#363636	98
53	#D74587	#1E1E1E	41
54	#FFFFFF	#D3D3D3	43
55	#FFFFFF	#D3D3D3	43
56	#FFFFFF	#D3D3D3	43
57	#FFFFFF	#D3D3D3	43
58	#FFFFFF	#D3D3D3	43
59	#FFFFFF	#D3D3D3	43
60	#FFFFFF	#D3D3D3	43
61	#FFFFFF	#D3D3D3	43
62	#FFFFFF	#D3D3D3	43
63	#FFFFFF	#D3D3D3	43
64	#D12B7D	#0F0F0F	56
65	#FFFFFF	#D3D3D3	43
66	#FFFFFF	#D3D3D3	43
67	#FFFFFF	#D3D3D3	43
68	#FFFFFF	#D3D3D3	43
69	#FFFFFF	#D3D3D3	43
70	#FFFFFF	#D3D3D3	43
71	#FFFFFF	#D3D3D3	43
72	#FFFFFF	#D3D3D3	43
73	#FFFCFD	#CFCFCF	22
74	#FFFCFD	#CFCFCF	22
75	#FFFFFF	#D3D3D3	9
76	#FFFCFD	#CFCFCF	22
77	#FFFCFD	#CFCFCF	22
78	#FFFCFD	#CFCFCF	22
79	#FFFCFD	#CFCFCF	22
80	#FFFCFD	#CFCFCF	22
81	#FFFCFD	#CFCFCF	22
82	#FFFCFD	#CFCFCF	22
83	#FFFCFD	#CFCFCF	22
84	#FFFCFD	#CFCFCF	22
85	#FFFCFD	#CFCFCF	22
86	#FFFFFF	#D3D3D3	9
87	#FFFCFD	#CFCFCF	22
88	#FFFCFD	#CFCFCF	22
89	#FFFFFF	#D3D3D3	51
90	#FFFFFF	#D3D3D3	51
91	#FFFFFF	#D3D3D3	51
92	#FFFCFD	#CFCFCF	22
93	#FFFCFD	#CFCFCF	22
94	#FAD5E1	#A3A3A3	7
95	#FAD5E1	#A3A3A3	7
96	#FAD5E1	#A3A3A3	7
97	#FFFFFF	#D3D3D3	9
98	#FFFFFF	#D3D3D3	9
99	#FFFFFF	#D3D3D3	9
100	#FFFFFF	#D3D3D3	9
101	#FFFFFF	#D3D3D3	43
103	#E16799	#363636	98
104	#D74587	#1E1E1E	41
105	#FFFFFF	#D3D3D3	43
106	#FFFFFF	#D3D3D3	43
107	#FFFFFF	#D3D3D3	43
108	#FFFFFF	#D3D3D3	43
109	#FFFFFF	#D3D3D3	43
110	#FFFFFF	#D3D3D3	43
111	#FFFFFF	#D3D3D3	43
112	#FFFFFF	#D3D3D3	43
113	#FFFFFF	#D3D3D3	43
114	#FFFFFF	#D3D3D3	43
115	#D12B7D	#0F0F0F	56
116	#FFFFFF	#D3D3D3	43
117	#FFFFFF	#D3D3D3	43
118	#FFFFFF	#D3D3D3	43
119	#FFFFFF	#D3D3D3	43
120	#FFFFFF	#D3D3D3	43
121	#FFFFFF	#D3D3D3	43
122	#FFFFFF	#D3D3D3	43
123	#FFFFFF	#D3D3D3	43
124	#FFFCFD	#CFCFCF	22
125	#FFFCFD	#CFCFCF	22
126	#FFFFFF	#D3D3D3	9
127	#FFFCFD	#CFCFCF	22
128	#FFFCFD	#CFCFCF	22
129	#FFFCFD	#CFCFCF	22
130	#FFFCFD	#CFCFCF	22
131	#FFFCFD	#CFCFCF	22
132	#FFFCFD	#CFCFCF	22
133	#FFFCFD	#CFCFCF	22
134	#FFFCFD	#CFCFCF	22
135	#FFFCFD	#CFCFCF	22
136	#FFFCFD	#CFCFCF	22
137	#FFFFFF	#D3D3D3	9
138	#FFFCFD	#CFCFCF	22
139	#FFFFFF	#D3D3D3	51
140	#FFFFFF	#D3D3D3	51
141	#FFFFFF	#D3D3D3	51
142	#FFFCFD	#CFCFCF	22
143	#FFFCFD	#CFCFCF	22
144	#FFFCFD	#CFCFCF	22
145	#FAD5E1	#A3A3A3	7
146	#FAD5E1	#A3A3A3	7
147	#FFFFFF	#D3D3D3	9
148	#FFFFFF	#D3D3D3	9
149	#FFFFFF	#D3D3D3	9
150	#FFFFFF	#D3D3D3	9
151	#FFFFFF	#D3D3D3	43
153	#E16799	#363636	98
154	#D74587	#1E1E1E	41
155	#FFFFFF	#D3D3D3	43
156	#FFFFFF	#D3D3D3	43
157	#FFFFFF	#D3D3D3	52
158	#FFFFFF	#D3D3D3	52
159	#FFFFFF	#D3D3D3	52
160	#FFFFFF	#D3D3D3	52
161	#FFFFFF	#D3D3D3	52
162	#FFFFFF	#D3D3D3	52
163	#FFFFFF	#D3D3D3	43
164	#FFFFFF	#D3D3D3	43
165	#D74587	#1E1E1E	41
166	#FFFFFF	#D3D3D3	43
167	#FFFFFF	#D3D3D3	43
168	#FFFFFF	#D3D3D3	43
169	#FFFFFF	#D3D3D3	43
170	#FFFFFF	#D3D3D3	43
171	#FFFFFF	#D3D3D3	43
172	#FFFFFF	#D3D3D3	43
173	#FFFFFF	#D3D3D3	43
174	#FFFCFD	#CFCFCF	22
175	#FFFCFD	#CFCFCF	22
176	#D74587	#1E1E1E	41
177	#FFFCFD	#CFCFCF	22
178	#FFFCFD	#CFCFCF	22
179	#FFFCFD	#CFCFCF	22
180	#FFFFFF	#D3D3D3	54
181	#FFFFFF	#D3D3D3	54
182	#FFFCFD	#CFCFCF	22
183	#FFFCFD	#CFCFCF	22
184	#FFFCFD	#CFCFCF	22
185	#FFFCFD	#CFCFCF	22
186	#FFFCFD	#CFCFCF	22
187	#D74587	#1E1E1E	41
188	#FAD5E1	#A3A3A3	7
189	#FAD5E1	#A3A3A3	7
190	#FDECF1	#BCBCBC	50
191	#FFFFFF	#D3D3D3	65
192	#FFFFFF	#D3D3D3	65
193	#FFFFFF	#D3D3D3	92
194	#FFFFFF	#D3D3D3	92
198	#D12B7D	#0F0F0F	56
199	#D12B7D	#0F0F0F	56
200	#D12B7D	#0F0F0F	56
201	#D12B7D	#0F0F0F	56
202	#D12B7D	#0F0F0F	56
204	#E16799	#363636	98
205	#D74587	#1E1E1E	41
206	#FFFFFF	#D3D3D3	43
207	#FFFFFF	#D3D3D3	43
208	#FFFFFF	#D3D3D3	52
209	#FFFFFF	#D3D3D3	52
210	#FFFFFF	#D3D3D3	52
211	#FFFFFF	#D3D3D3	52
212	#FFFFFF	#D3D3D3	52
213	#FFFFFF	#D3D3D3	52
214	#FFFFFF	#D3D3D3	43
215	#FFFFFF	#D3D3D3	43
216	#D74587	#1E1E1E	41
217	#FFFFFF	#D3D3D3	43
218	#FFFFFF	#D3D3D3	43
219	#FFFFFF	#D3D3D3	43
220	#FFFFFF	#D3D3D3	43
221	#FFFFFF	#D3D3D3	43
222	#FFFFFF	#D3D3D3	43
223	#FFFFFF	#D3D3D3	43
224	#FFFCFD	#CFCFCF	22
225	#FFFCFD	#CFCFCF	22
226	#FFFCFD	#CFCFCF	22
227	#D74587	#1E1E1E	41
228	#FFFCFD	#CFCFCF	22
229	#FFFCFD	#CFCFCF	22
230	#FFFFFF	#D3D3D3	54
231	#FFFFFF	#D3D3D3	54
232	#FFFFFF	#D3D3D3	54
233	#FFFCFD	#CFCFCF	22
234	#FFFCFD	#CFCFCF	22
235	#FFFCFD	#CFCFCF	22
236	#FFFCFD	#CFCFCF	22
237	#FAD5E1	#A3A3A3	7
238	#CD1076	#000000	55
239	#FAD5E1	#A3A3A3	7
240	#FDECF1	#BCBCBC	50
241	#FFFFFF	#D3D3D3	65
242	#FFFFFF	#D3D3D3	65
243	#FFFFFF	#D3D3D3	92
244	#FFFFFF	#D3D3D3	92
248	#D12B7D	#0F0F0F	56
249	#D12B7D	#0F0F0F	56
250	#CD1076	#000000	55
251	#D12B7D	#0F0F0F	56
252	#D12B7D	#0F0F0F	56
254	#E16799	#363636	98
255	#D74587	#1E1E1E	41
256	#D12B7D	#0F0F0F	56
257	#FFFFFF	#D3D3D3	43
258	#FFFFFF	#D3D3D3	43
259	#FFFFFF	#D3D3D3	52
260	#FFFFFF	#D3D3D3	52
261	#FFFFFF	#D3D3D3	52
262	#FFFFFF	#D3D3D3	52
263	#FFFFFF	#D3D3D3	52
264	#FFFFFF	#D3D3D3	52
265	#FFFFFF	#D3D3D3	43
266	#D74587	#1E1E1E	41
267	#FFFFFF	#D3D3D3	43
268	#FFFFFF	#D3D3D3	43
269	#FFFFFF	#D3D3D3	43
270	#FFFFFF	#D3D3D3	43
271	#FFFFFF	#D3D3D3	43
272	#FFFFFF	#D3D3D3	43
273	#FFFFFF	#D3D3D3	43
274	#FFFCFD	#CFCFCF	22
275	#FFFCFD	#CFCFCF	22
276	#FFFCFD	#CFCFCF	22
277	#D74587	#1E1E1E	41
278	#FFFCFD	#CFCFCF	22
279	#FFFCFD	#CFCFCF	22
280	#FFFFFF	#D3D3D3	54
281	#FFFFFF	#D3D3D3	54
282	#FFFFFF	#D3D3D3	54
283	#FFFFFF	#D3D3D3	54
284	#FFFCFD	#CFCFCF	22
285	#FFFCFD	#CFCFCF	22
286	#FFFCFD	#CFCFCF	22
287	#FAD5E1	#A3A3A3	7
288	#CD1076	#000000	55
289	#FAD5E1	#A3A3A3	7
290	#FDECF1	#BCBCBC	50
291	#FFFFFF	#D3D3D3	65
292	#FFFFFF	#D3D3D3	65
293	#FFFFFF	#D3D3D3	92
294	#FFFFFF	#D3D3D3	124
299	#CD1076	#000000	55
300	#D12B7D	#0F0F0F	56
301	#CD1076	#000000	55
302	#D12B7D	#0F0F0F	56
303	#D12B7D	#0F0F0F	56
305	#E16799	#363636	98
306	#D74587	#1E1E1E	41
307	#D12B7D	#0F0F0F	56
308	#FFFFFF	#D3D3D3	43
309	#FFFFFF	#D3D3D3	43
310	#FFFFFF	#D3D3D3	52
311	#FFFFFF	#D3D3D3	52
312	#FFFFFF	#D3D3D3	52
313	#FFFFFF	#D3D3D3	52
314	#FFFFFF	#D3D3D3	52
315	#FFFFFF	#D3D3D3	43
316	#FFFFFF	#D3D3D3	43
317	#D74587	#1E1E1E	41
318	#FFFFFF	#D3D3D3	43
319	#FFFFFF	#D3D3D3	43
320	#FFFFFF	#D3D3D3	43
321	#FFFFFF	#D3D3D3	43
322	#FFFFFF	#D3D3D3	43
323	#FFFFFF	#D3D3D3	43
324	#FFFCFD	#CFCFCF	22
325	#FFFCFD	#CFCFCF	22
326	#FFFCFD	#CFCFCF	22
327	#FFFCFD	#CFCFCF	22
328	#CD1076	#000000	55
329	#FFFCFD	#CFCFCF	22
330	#FFFFFF	#D3D3D3	54
331	#FFFFFF	#D3D3D3	54
332	#FFFFFF	#D3D3D3	54
333	#FFFFFF	#D3D3D3	54
334	#FFFCFD	#CFCFCF	22
335	#FFFCFD	#CFCFCF	22
336	#FFFCFD	#CFCFCF	22
337	#FAD5E1	#A3A3A3	7
338	#FAD5E1	#A3A3A3	7
339	#CD1076	#000000	55
340	#FDECF1	#BCBCBC	50
341	#FFFFFF	#D3D3D3	65
342	#FFFFFF	#D3D3D3	65
343	#FFFFFF	#D3D3D3	92
344	#FFFFFF	#D3D3D3	124
349	#CD1076	#000000	55
350	#CD1076	#000000	55
351	#D12B7D	#0F0F0F	56
352	#D12B7D	#0F0F0F	56
353	#D12B7D	#0F0F0F	56
355	#E16799	#363636	98
356	#D74587	#1E1E1E	41
357	#D12B7D	#0F0F0F	56
358	#D12B7D	#0F0F0F	56
359	#FFFFFF	#D3D3D3	43
360	#FFFFFF	#D3D3D3	43
361	#FFFFFF	#D3D3D3	52
362	#FFFFFF	#D3D3D3	52
363	#FFFFFF	#D3D3D3	52
364	#FFFFFF	#D3D3D3	52
365	#FFFFFF	#D3D3D3	43
366	#FFFFFF	#D3D3D3	43
367	#D74587	#1E1E1E	41
368	#FFFFFF	#D3D3D3	43
369	#FFFFFF	#D3D3D3	43
370	#FFFFFF	#D3D3D3	43
371	#FFFFFF	#D3D3D3	43
372	#FFFFFF	#D3D3D3	43
373	#FFFFFF	#D3D3D3	43
374	#FFFCFD	#CFCFCF	22
375	#FFFCFD	#CFCFCF	22
376	#FFFCFD	#CFCFCF	22
377	#FFFCFD	#CFCFCF	22
378	#CD1076	#000000	55
379	#FFFCFD	#CFCFCF	22
380	#FFFFFF	#D3D3D3	54
381	#FFFFFF	#D3D3D3	54
382	#FFFFFF	#D3D3D3	54
383	#FFFFFF	#D3D3D3	54
384	#FFFCFD	#CFCFCF	22
385	#FAD5E1	#A3A3A3	7
386	#FFFCFD	#CFCFCF	22
387	#FAD5E1	#A3A3A3	7
388	#FAD5E1	#A3A3A3	7
389	#CD1076	#000000	55
390	#FDECF1	#BCBCBC	50
391	#FFFFFF	#D3D3D3	65
392	#FFFFFF	#D3D3D3	65
393	#FFFFFF	#D3D3D3	92
394	#FFFFFF	#D3D3D3	124
400	#CD1076	#000000	55
401	#CD1076	#000000	55
402	#D12B7D	#0F0F0F	56
403	#D12B7D	#0F0F0F	56
404	#D12B7D	#0F0F0F	56
406	#E16799	#363636	98
407	#D74587	#1E1E1E	41
408	#D12B7D	#0F0F0F	56
409	#D12B7D	#0F0F0F	56
410	#FFFFFF	#D3D3D3	43
411	#FFFFFF	#D3D3D3	43
412	#FFFFFF	#D3D3D3	52
413	#FFFFFF	#D3D3D3	52
414	#FFFFFF	#D3D3D3	52
415	#FFFFFF	#D3D3D3	43
416	#FFFFFF	#D3D3D3	43
417	#FFFFFF	#D3D3D3	43
418	#CD1076	#000000	55
419	#FFFFFF	#D3D3D3	43
420	#FFFFFF	#D3D3D3	43
421	#FFFFFF	#D3D3D3	43
422	#FFFFFF	#D3D3D3	43
423	#FFFFFF	#D3D3D3	43
424	#FFFFFF	#D3D3D3	43
425	#FFFCFD	#CFCFCF	22
426	#FFFCFD	#CFCFCF	22
427	#FFFCFD	#CFCFCF	22
428	#FFFCFD	#CFCFCF	22
429	#CD1076	#000000	55
430	#FFFFFF	#D3D3D3	54
431	#FFFFFF	#D3D3D3	54
432	#FFFFFF	#D3D3D3	54
433	#FFFFFF	#D3D3D3	54
434	#FFFCFD	#CFCFCF	22
435	#FAD5E1	#A3A3A3	7
436	#FAD5E1	#A3A3A3	7
437	#FAD5E1	#A3A3A3	7
438	#FAD5E1	#A3A3A3	7
439	#FDECF1	#BCBCBC	50
440	#CD1076	#000000	55
441	#FFFFFF	#D3D3D3	65
442	#FFFFFF	#D3D3D3	65
443	#FFFFFF	#D3D3D3	92
444	#FFFFFF	#D3D3D3	124
450	#CD1076	#000000	55
451	#CD1076	#000000	55
452	#D12B7D	#0F0F0F	56
453	#D12B7D	#0F0F0F	56
454	#CD1076	#000000	55
456	#E16799	#363636	98
457	#D74587	#1E1E1E	41
458	#CD1076	#000000	55
459	#D12B7D	#0F0F0F	56
460	#D12B7D	#0F0F0F	56
461	#FFFFFF	#D3D3D3	43
462	#FFFFFF	#D3D3D3	43
463	#FFFFFF	#D3D3D3	52
464	#FFFFFF	#D3D3D3	52
465	#FFFFFF	#D3D3D3	43
466	#FFFFFF	#D3D3D3	43
467	#FFFFFF	#D3D3D3	43
468	#CD1076	#000000	55
469	#FFFCFD	#CFCFCF	22
470	#FFFFFF	#D3D3D3	43
471	#FFFFFF	#D3D3D3	43
472	#FFFFFF	#D3D3D3	43
473	#FFFFFF	#D3D3D3	43
474	#FFFCFD	#CFCFCF	22
475	#FFFCFD	#CFCFCF	22
476	#FFFCFD	#CFCFCF	22
477	#FFFCFD	#CFCFCF	22
478	#FFFCFD	#CFCFCF	22
479	#CD1076	#000000	55
480	#FFFFFF	#D3D3D3	54
481	#FFFFFF	#D3D3D3	54
482	#FFFFFF	#D3D3D3	54
483	#FFFFFF	#D3D3D3	54
484	#FFFCFD	#CFCFCF	22
485	#FAD5E1	#A3A3A3	7
486	#FAD5E1	#A3A3A3	7
487	#FAD5E1	#A3A3A3	7
488	#FAD5E1	#A3A3A3	7
489	#FDECF1	#BCBCBC	50
490	#CD1076	#000000	55
491	#FFFFFF	#D3D3D3	65
492	#FFFFFF	#D3D3D3	65
493	#FFFFFF	#D3D3D3	92
494	#FFFFFF	#D3D3D3	124
501	#CD1076	#000000	55
502	#CD1076	#000000	55
503	#CD1076	#000000	55
504	#D12B7D	#0F0F0F	56
505	#CD1076	#000000	55
507	#E16799	#363636	98
508	#CD1076	#000000	55
509	#D12B7D	#0F0F0F	56
510	#D12B7D	#0F0F0F	56
511	#D12B7D	#0F0F0F	56
512	#FFFFFF	#D3D3D3	43
513	#FFFFFF	#D3D3D3	43
514	#FFFFFF	#D3D3D3	52
515	#FFFFFF	#D3D3D3	43
516	#FFFFFF	#D3D3D3	43
517	#FFFFFF	#D3D3D3	43
518	#FFFCFD	#CFCFCF	22
519	#CD1076	#000000	55
520	#FFFCFD	#CFCFCF	22
521	#FFFCFD	#CFCFCF	22
522	#FFFFFF	#D3D3D3	43
523	#FFFFFF	#D3D3D3	43
524	#FFFCFD	#CFCFCF	22
525	#FFFCFD	#CFCFCF	22
526	#FFFCFD	#CFCFCF	22
527	#FFFCFD	#CFCFCF	22
528	#FFFCFD	#CFCFCF	22
529	#FFFFFF	#D3D3D3	54
530	#CD1076	#000000	55
531	#FFFFFF	#D3D3D3	54
532	#FFFFFF	#D3D3D3	54
533	#FFFFFF	#D3D3D3	54
534	#FFFCFD	#CFCFCF	22
535	#FAD5E1	#A3A3A3	7
536	#FAD5E1	#A3A3A3	7
537	#FAD5E1	#A3A3A3	7
538	#FAD5E1	#A3A3A3	7
539	#FDECF1	#BCBCBC	50
540	#FFFFFF	#D3D3D3	65
541	#CD1076	#000000	55
542	#FFFFFF	#D3D3D3	65
543	#FFFFFF	#D3D3D3	92
544	#FFFFFF	#D3D3D3	124
551	#CD1076	#000000	55
552	#CD1076	#000000	55
553	#CD1076	#000000	55
554	#CD1076	#000000	55
555	#CD1076	#000000	55
557	#E16799	#363636	98
558	#CD1076	#000000	35
559	#D12B7D	#0F0F0F	56
560	#D12B7D	#0F0F0F	56
561	#D12B7D	#0F0F0F	56
562	#D12B7D	#0F0F0F	56
563	#FFFFFF	#D3D3D3	43
564	#FFFFFF	#D3D3D3	43
565	#FFFFFF	#D3D3D3	43
566	#FFFFFF	#D3D3D3	43
567	#FFFFFF	#D3D3D3	43
568	#FFFCFD	#CFCFCF	22
569	#CD1076	#000000	55
570	#FFFCFD	#CFCFCF	22
571	#FFFCFD	#CFCFCF	22
572	#FFFCFD	#CFCFCF	22
573	#FFFFFF	#D3D3D3	43
574	#FFFCFD	#CFCFCF	22
575	#FFFCFD	#CFCFCF	22
576	#FFFCFD	#CFCFCF	22
577	#FFFCFD	#CFCFCF	22
578	#FFFCFD	#CFCFCF	22
579	#FFFFFF	#D3D3D3	54
580	#CD1076	#000000	55
581	#FFFFFF	#D3D3D3	54
582	#FFFFFF	#D3D3D3	54
583	#FFFFFF	#D3D3D3	54
584	#FFFCFD	#CFCFCF	22
585	#FAD5E1	#A3A3A3	7
586	#FAD5E1	#A3A3A3	7
587	#FAD5E1	#A3A3A3	7
588	#FAD5E1	#A3A3A3	7
589	#FDECF1	#BCBCBC	50
590	#FFFFFF	#D3D3D3	65
591	#CD1076	#000000	55
592	#FFFFFF	#D3D3D3	65
593	#FFFFFF	#D3D3D3	92
594	#FFFFFF	#D3D3D3	124
