group	label	showSelected1
1	Cluster 1: 9/1148 pixels shown, logFC -0.7 to 0.9, log10(p) 0.0 to 4.0	1
1	Cluster 2: 93/182 pixels shown, logFC -1.7 to 2.4, log10(p) 0.0 to 2.5	2
1	Cluster 3: 12/374 pixels shown, logFC -0.1 to 1.4, log10(p) 0.0 to 42.8	3
1	Cluster 8: 245/510 pixels shown, logFC -0.9 to 1.4, log10(p) 0.0 to 4.6	8
1	Cluster 15: 1/593 pixels shown, logFC -0.7 to 0.6, log10(p) 0.0 to 3.1	15
1	Cluster 25: 87/87 pixels shown, logFC -0.1 to 0.2, log10(p) 0.0 to 1.1	25
1	Cluster 26: 676/718 pixels shown, logFC -0.5 to 0.4, log10(p) 0.0 to 3.1	26
1	Cluster 29: 6/72 pixels shown, logFC -0.8 to 0.6, log10(p) 0.0 to 1.8	29
1	Cluster 30: 172/1409 pixels shown, logFC -0.7 to 0.5, log10(p) 0.0 to 3.1	30
1	Cluster 32: 1/152 pixels shown, logFC -1.3 to -0.6, log10(p) 4.4 to 34.2	32
1	Cluster 33: 1/135 pixels shown, logFC -0.9 to 0.9, log10(p) 0.0 to 2.3	33
1	Cluster 34: 22/107 pixels shown, logFC -0.5 to 0.6, log10(p) 0.0 to 2.3	34
1	Cluster 36: 51/58 pixels shown, logFC -1.2 to 0.2, log10(p) 0.0 to 29.8	36
1	Cluster 40: 52/122 pixels shown, logFC -1.7 to 1.8, log10(p) 0.0 to 1.8	40
1	Cluster 42: 26/58 pixels shown, logFC -0.1 to 1.3, log10(p) 0.0 to 21.6	42
1	Cluster 44: 5/5 pixels shown, logFC -1.1 to -1.0, log10(p) 11.1 to 16.5	44
1	Cluster 46: 150/151 pixels shown, logFC -0.6 to 0.6, log10(p) 0.0 to 2.9	46
1	Cluster 49: 39/39 pixels shown, logFC -0.6 to 0.6, log10(p) 0.0 to 1.0	49
1	Cluster 50: 38/156 pixels shown, logFC -1.3 to 0.3, log10(p) 0.0 to 33.6	50
1	Cluster 63: 35/35 pixels shown, logFC -0.4 to 0.2, log10(p) 0.0 to 2.9	63
1	Cluster 64: 40/127 pixels shown, logFC -3.5 to 3.9, log10(p) 0.1 to 1.3	64
1	Cluster 66: 58/118 pixels shown, logFC -0.4 to 0.3, log10(p) 0.0 to 1.9	66
1	Cluster 69: 121/431 pixels shown, logFC -0.2 to 0.2, log10(p) 0.0 to 1.8	69
1	Cluster 71: 4/10 pixels shown, logFC -1.1 to -1.1, log10(p) 10.9 to 16.9	71
1	Cluster 76: 524/1023 pixels shown, logFC -0.6 to 0.6, log10(p) 0.0 to 2.9	76
1	Cluster 78: 19/19 pixels shown, logFC -0.3 to 0.4, log10(p) 0.0 to 1.2	78
1	Cluster 80: 38/38 pixels shown, logFC -0.8 to 0.5, log10(p) 0.0 to 2.2	80
1	Cluster 83: 24/24 pixels shown, logFC -0.6 to 0.6, log10(p) 0.0 to 1.3	83
1	Cluster 85: 73/102 pixels shown, logFC -0.5 to 0.6, log10(p) 0.0 to 2.2	85
1	Cluster 92: 14/168 pixels shown, logFC -0.9 to 0.6, log10(p) 0.0 to 2.1	92
1	Cluster 99: 537/1086 pixels shown, logFC -0.5 to 0.4, log10(p) 0.0 to 3.1	99
1	Cluster 100: 39/86 pixels shown, logFC -3.5 to 3.9, log10(p) 0.1 to 1.3	100
1	Cluster 115: 3/3 pixels shown, logFC -0.0 to 0.0, log10(p) 0.0 to 0.1	115
1	Cluster 125: 10/46 pixels shown, logFC -0.3 to 0.3, log10(p) 0.0 to 1.4	125
1	Cluster 127: 19/19 pixels shown, logFC -0.2 to 0.4, log10(p) 0.0 to 0.7	127
1	Cluster 133: 22/22 pixels shown, logFC -0.4 to 0.3, log10(p) 0.0 to 1.2	133
