group	fill	clickSelects
2	#F1A8C2	36
3	#F1A8C2	36
14	#FDECF1	50
18	#FFFFFF	127
19	#FFFFFF	40
21	#FFFFFF	100
22	#FFFFFF	46
23	#FFFFFF	46
24	#FFFFFF	99
25	#FDECF1	50
26	#FFFFFF	99
27	#FFFFFF	99
28	#FFFFFF	99
29	#FFFFFF	99
30	#FFFFFF	99
31	#FFFFFF	99
32	#FFFFFF	99
33	#FFFFFF	99
34	#FFFFFF	30
35	#FFFFFF	30
36	#FFFFFF	78
37	#FFFFFF	30
38	#FFFFFF	30
39	#FFFFFF	26
40	#FFFFFF	30
41	#FFFFFF	30
42	#FFFFFF	99
43	#FFFFFF	99
44	#FFFFFF	99
45	#FFFFFF	99
46	#FFFFFF	78
52	#F1A8C2	36
53	#F1A8C2	36
64	#F1A8C2	36
68	#FFFFFF	127
69	#FFFFFF	40
72	#FFFFFF	46
73	#FFFFFF	46
74	#FFFFFF	99
75	#F1A8C2	36
76	#FFFFFF	99
77	#FFFFFF	99
78	#FFFFFF	99
79	#FFFFFF	99
80	#FFFFFF	99
81	#FFFFFF	99
82	#FFFFFF	99
83	#FFFFFF	99
84	#FFFFFF	99
85	#FFFFFF	30
86	#FFFFFF	78
87	#FFFFFF	30
88	#FFFFFF	30
89	#FFFFFF	26
90	#FFFFFF	26
91	#FFFFFF	30
92	#FFFFFF	30
93	#FFFFFF	99
94	#FFFFFF	99
95	#FFFFFF	30
96	#FFFFFF	30
97	#FFFFFF	78
103	#F1A8C2	36
104	#F1A8C2	36
115	#F1A8C2	36
118	#FFFFFF	127
119	#FFFFFF	40
121	#FFFFFF	100
122	#FFFFFF	46
123	#FFFFFF	46
124	#FFFFFF	99
125	#FFFFFF	99
126	#FFFFFF	78
127	#FFFFFF	99
128	#FFFFFF	99
129	#FFFFFF	99
130	#FFFFFF	99
131	#FFFFFF	99
132	#FFFFFF	99
133	#FFFFFF	99
134	#FFFFFF	99
135	#FFFFFF	99
136	#FFFFFF	30
137	#FFFFFF	78
138	#FFFFFF	30
139	#FFFFFF	26
140	#FFFFFF	26
141	#FFFFFF	26
142	#FFFFFF	30
143	#FFFFFF	30
144	#FFFFFF	99
145	#FFFFFF	30
146	#FFFFFF	30
159	#FFFFFF	40
160	#FFFFFF	40
163	#FFFFFF	46
164	#FFFFFF	46
